,Rj,Cj,Rtmdc,Cp,Lp,Rex,fpulse,mode
0,100000.0,1e-18,1000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
1,100000.0,1e-15,1000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
2,100000.0,1e-12,1000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
3,100000.0,1e-18,1000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
4,100000.0,1e-15,1000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
5,100000.0,1e-12,1000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
6,100000.0,1e-18,1000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
7,100000.0,1e-15,1000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
8,100000.0,1e-12,1000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
9,100000.0,1e-18,10000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
10,100000.0,1e-15,10000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
11,100000.0,1e-12,10000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
12,100000.0,1e-18,10000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
13,100000.0,1e-15,10000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
14,100000.0,1e-12,10000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
15,100000.0,1e-18,10000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
16,100000.0,1e-15,10000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
17,100000.0,1e-12,10000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
18,100000.0,1e-18,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
19,100000.0,1e-15,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
20,100000.0,1e-12,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
21,100000.0,1e-18,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
22,100000.0,1e-15,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
23,100000.0,1e-12,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
24,100000.0,1e-18,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
25,100000.0,1e-15,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
26,100000.0,1e-12,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
27,100000.0,1e-18,1000000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
28,100000.0,1e-15,1000000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
29,100000.0,1e-12,1000000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
30,100000.0,1e-18,1000000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
31,100000.0,1e-15,1000000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
32,100000.0,1e-12,1000000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
33,100000.0,1e-18,1000000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
34,100000.0,1e-15,1000000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
35,100000.0,1e-12,1000000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
