,Rj,Cj,Rtmdc,Cp,Lp,Rex,fpulse,mode
0,100000.0,1e-18,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
1,100000.0,1e-17,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
2,100000.0,1e-16,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
3,100000.0,1e-15,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
4,100000.0,1e-14,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
5,100000.0,1e-13,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
6,100000.0,1e-12,100000.0,1e-17,1e-05,10000000.0,80000000.0,1.0
7,100000.0,1e-18,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
8,100000.0,1e-17,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
9,100000.0,1e-16,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
10,100000.0,1e-15,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
11,100000.0,1e-14,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
12,100000.0,1e-13,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
13,100000.0,1e-12,100000.0,1e-13,1e-05,10000000.0,80000000.0,1.0
14,100000.0,1e-18,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
15,100000.0,1e-17,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
16,100000.0,1e-16,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
17,100000.0,1e-15,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
18,100000.0,1e-14,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
19,100000.0,1e-13,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
20,100000.0,1e-12,100000.0,1e-09,1e-05,10000000.0,80000000.0,1.0
