,Rj,Cj,Rtmdc,Cp,Lp,Rex,fpulse,mode
0,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
2,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
3,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
4,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
5,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
6,0.0,0.0,0.0,0.0,0.0,1000.0,80000000.0,1.0
7,100000.0,1e-18,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
8,100000.0,1e-17,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
9,100000.0,1e-16,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
10,100000.0,1e-15,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
11,100000.0,1e-14,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
12,100000.0,1e-13,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
13,100000.0,1e-12,100000.0,1e-05,0.001,1000.0,80000000.0,1.0
